site,date_coll,taxa,length_cm,reach_width,reach_length,ln_a,b,base,log,dw,area
Burke,3.3.16,Anguilla.australis,24,2.5,20,-17.3224,3.481,2.718282344,1.755700474,5.787502242,50
Burke,3.3.16,Salmo.trutta,7.8,2.5,20,-12.98521,3.05,2.718282172,0.302750242,1.353576408,50
Burke,3.3.16,Salmo.trutta,11.8,2.5,20,-12.98521,3.05,2.718282172,1.565376266,4.784475778,50
Burke,3.3.16,Salmo.trutta,14.8,2.5,20,-12.98521,3.05,2.718282172,2.256285509,9.547561618,50
Burke,3.3.16,Salmo.trutta,15.4,2.5,20,-12.98521,3.05,2.718282172,2.377493496,10.77785748,50
Burke,3.3.16,Salmo.trutta,19,2.5,20,-12.98521,3.05,2.718282172,3.018211398,20.45468147,50
Burke,3.3.16,Salmo.trutta,42.6,2.5,20,-12.98521,3.05,2.718282172,5.480827672,240.0454703,50
Coorup,5.3.16,Anguilla.australis,30,1.5,20,-17.3224,3.481,2.718282344,2.532463029,12.58446994,30
Italia,3.3.16,Anguilla.australis,25,3,20,-17.3224,3.481,2.718282344,1.89780181,6.671216117,60
Italia,3.3.16,Anguilla.australis,29,3,20,-17.3224,3.481,2.718282344,2.41445175,11.18364236,60
Italia,3.3.16,Anguilla.australis,45.4,3,20,-17.3224,3.481,2.718282344,3.974692307,53.23377488,60
Italia,3.3.16,Salmo.trutta,7.8,3,20,-12.98521,3.05,2.718282172,0.302750242,1.353576408,60
Kiwi,2.3.16,Anguilla.australis,6.5,2.5,20,-17.3224,3.481,2.718282344,-2.791360669,0.061337664,50
Kiwi,2.3.16,Anguilla.australis,6.5,2.5,20,-17.3224,3.481,2.718282344,-2.791360669,0.061337664,50
Kiwi,2.3.16,Anguilla.australis,6.5,2.5,20,-17.3224,3.481,2.718282344,-2.791360669,0.061337664,50
Kiwi,2.3.16,Anguilla.australis,7,2.5,20,-17.3224,3.481,2.718282344,-2.533390867,0.079389326,50
Kiwi,2.3.16,Anguilla.australis,7,2.5,20,-17.3224,3.481,2.718282344,-2.533390867,0.079389326,50
Kiwi,2.3.16,Anguilla.australis,7,2.5,20,-17.3224,3.481,2.718282344,-2.533390867,0.079389326,50
Kiwi,2.3.16,Anguilla.australis,7,2.5,20,-17.3224,3.481,2.718282344,-2.533390867,0.079389326,50
Kiwi,2.3.16,Anguilla.australis,7,2.5,20,-17.3224,3.481,2.718282344,-2.533390867,0.079389326,50
Kiwi,2.3.16,Anguilla.australis,7,2.5,20,-17.3224,3.481,2.718282344,-2.533390867,0.079389326,50
Kiwi,2.3.16,Anguilla.australis,3.5,2.5,20,-17.3224,3.481,2.718282344,-4.946235745,0.007110116,50
Kiwi,2.3.16,Anguilla.australis,8,2.5,20,-17.3224,3.481,2.718282344,-2.068568178,0.126366537,50
Kiwi,2.3.16,Anguilla.australis,8.5,2.5,20,-17.3224,3.481,2.718282344,-1.857533909,0.156056952,50
Kiwi,2.3.16,Anguilla.australis,3.5,2.5,20,-17.3224,3.481,2.718282344,-4.946235745,0.007110116,50
Kiwi,2.3.16,Anguilla.australis,9,2.5,20,-17.3224,3.481,2.718282344,-1.658565508,0.190411869,50
Kiwi,2.3.16,Anguilla.australis,9,2.5,20,-17.3224,3.481,2.718282344,-1.658565508,0.190411869,50
Kiwi,2.3.16,Anguilla.australis,10,2.5,20,-17.3224,3.481,2.718282344,-1.291805623,0.274774129,50
Kiwi,2.3.16,Anguilla.australis,10,2.5,20,-17.3224,3.481,2.718282344,-1.291805623,0.274774129,50
Kiwi,2.3.16,Anguilla.australis,6.5,2.5,20,-17.3224,3.481,2.718282344,-2.791360669,0.061337664,50
Kiwi,2.3.16,Anguilla.australis,9.5,2.5,20,-17.3224,3.481,2.718282344,-1.470357547,0.229843227,50
Kiwi,2.3.16,Anguilla.australis,13,2.5,20,-17.3224,3.481,2.718282344,-0.378515791,0.684877107,50
Kiwi,2.3.16,Anguilla.australis,12,2.5,20,-17.3224,3.481,2.718282344,-0.657144404,0.518329298,50
Kiwi,2.3.16,Anguilla.australis,3.5,2.5,20,-17.3224,3.481,2.718282344,-4.946235745,0.007110116,50
Kiwi,2.3.16,Anguilla.australis,16,2.5,20,-17.3224,3.481,2.718282344,0.3442767,1.410969089,50
Kiwi,2.3.16,Anguilla.australis,18,2.5,20,-17.3224,3.481,2.718282344,0.75427937,2.126079158,50
Kiwi,2.3.16,Anguilla.australis,20.5,2.5,20,-17.3224,3.481,2.718282344,1.206994223,3.343420725,50
Kiwi,2.3.16,Anguilla.australis,20.5,2.5,20,-17.3224,3.481,2.718282344,1.206994223,3.343420725,50
Kiwi,2.3.16,Anguilla.australis,22,2.5,20,-17.3224,3.481,2.718282344,1.452813928,4.275128684,50
Kiwi,2.3.16,Anguilla.australis,25,2.5,20,-17.3224,3.481,2.718282344,1.89780181,6.671216117,50
Kiwi,2.3.16,Anguilla.australis,25.5,2.5,20,-17.3224,3.481,2.718282344,1.966734742,7.147303233,50
Kiwi,2.3.16,Anguilla.australis,29,2.5,20,-17.3224,3.481,2.718282344,2.41445175,11.18364236,50
Kiwi,2.3.16,Anguilla.australis,29,2.5,20,-17.3224,3.481,2.718282344,2.41445175,11.18364236,50
Kiwi,2.3.16,Anguilla.australis,35,2.5,20,-17.3224,3.481,2.718282344,3.069061443,21.52170639,50
Kiwi,2.3.16,Anguilla.australis,40,2.5,20,-17.3224,3.481,2.718282344,3.533884133,34.25679034,50
Kiwi,2.3.16,Galaxias.fasciatus,6,2.5,20,-18.08421,4.082,2.718283204,-1.371103954,0.253826416,50
Kiwi,2.3.16,Galaxias.fasciatus,12,2.5,20,-18.08421,4.082,2.718283204,1.458321405,4.298740801,50
Kiwi,2.3.16,Galaxias.fasciatus,15.5,2.5,20,-18.08421,4.082,2.718283204,2.503040909,12.21961168,50
Kiwi,2.3.16,Galaxias.maculatus,4.5,2.5,20,-15.91189,3.473,2.718283376,-2.6913587,0.067788668,50
Kiwi,2.3.16,Galaxias.maculatus,5.5,2.5,20,-15.91189,3.473,2.718283376,-1.994429771,0.136091081,50
Kiwi,2.3.16,Galaxias.maculatus,6,2.5,20,-15.91189,3.473,2.718283376,-1.692239431,0.18410659,50
Kiwi,2.3.16,Galaxias.maculatus,6,2.5,20,-15.91189,3.473,2.718283376,-1.692239431,0.18410659,50
Kiwi,2.3.16,Galaxias.maculatus,5.5,2.5,20,-15.91189,3.473,2.718283376,-1.994429771,0.136091081,50
Kiwi,2.3.16,Galaxias.maculatus,6.5,2.5,20,-15.91189,3.473,2.718283376,-1.414251265,0.243107373,50
Kiwi,2.3.16,Galaxias.maculatus,6.5,2.5,20,-15.91189,3.473,2.718283376,-1.414251265,0.243107373,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,8,2.5,20,-15.71396,3.078,2.718283032,-2.22608799,0.1079498,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,8,2.5,20,-15.71396,3.078,2.718283032,-2.22608799,0.1079498,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4,2.5,20,-15.71396,3.078,2.718283032,-4.359594067,0.012783551,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5.5,2.5,20,-15.71396,3.078,2.718283032,-3.379393917,0.034068046,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5.5,2.5,20,-15.71396,3.078,2.718283032,-3.379393917,0.034068046,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5.5,2.5,20,-15.71396,3.078,2.718283032,-3.379393917,0.034068046,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5,2.5,20,-15.71396,3.078,2.718283032,-3.672758521,0.025406248,50
Kiwi,2.3.16,Gobiomorphus.huttoni,6.5,2.5,20,-15.71396,3.078,2.718283032,-2.865201672,0.056971568,50
Kiwi,2.3.16,Gobiomorphus.huttoni,2,2.5,20,-15.71396,3.078,2.718283032,-6.493100145,0.001513844,50
Kiwi,2.3.16,Gobiomorphus.huttoni,2.5,2.5,20,-15.71396,3.078,2.718283032,-5.806264598,0.00300864,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3,2.5,20,-15.71396,3.078,2.718283032,-5.245079094,0.005273392,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,3.5,2.5,20,-15.71396,3.078,2.718283032,-4.770603512,0.008475246,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,4.5,2.5,20,-15.71396,3.078,2.718283032,-3.997058044,0.01836957,50
Kiwi,2.3.16,Gobiomorphus.huttoni,5,2.5,20,-15.71396,3.078,2.718283032,-3.672758521,0.025406248,50
Kiwi,2.3.16,Gobiomorphus.huttoni,6,2.5,20,-15.71396,3.078,2.718283032,-3.111573017,0.044530791,50
Kiwi,2.3.16,Gobiomorphus.huttoni,6.5,2.5,20,-15.71396,3.078,2.718283032,-2.865201672,0.056971568,50
Lankey,6.3.16,Salmo.trutta,8.6,1.75,20,-12.98521,3.05,2.718282172,0.600547537,1.823116889,35
Lankey,6.3.16,Salmo.trutta,9.8,1.75,20,-12.98521,3.05,2.718282172,0.998939043,2.715399719,35
Lankey,6.3.16,Salmo.trutta,10,1.75,20,-12.98521,3.05,2.718282172,1.060557292,2.887980377,35
Lankey,6.3.16,Salmo.trutta,10.8,1.75,20,-12.98521,3.05,2.718282172,1.295288438,3.65204981,35
Lankey,6.3.16,Salmo.trutta,12.6,1.75,20,-12.98521,3.05,2.718282172,1.765447952,5.844190992,35
Lankey,6.3.16,Salmo.trutta,18,1.75,20,-12.98521,3.05,2.718282172,2.853306394,17.34504291,35
Murray,6.3.16,Anguilla.australis,21.4,2.5,20,-17.3224,3.481,2.718282344,1.356558966,3.882810406,50
Murray,6.3.16,Anguilla.australis,22.8,2.5,20,-17.3224,3.481,2.718282344,1.57714855,4.841133314,50
Murray,6.3.16,Anguilla.australis,26.2,2.5,20,-17.3224,3.481,2.718282344,2.061003541,7.853850588,50
Murray,6.3.16,Anguilla.australis,31.6,2.5,20,-17.3224,3.481,2.718282344,2.713334846,15.07948725,50
Murray,6.3.16,Salmo.trutta,9.2,2.5,20,-12.98521,3.05,2.718282172,0.806243417,2.239479603,50
Murray,6.3.16,Salmo.trutta,9.4,2.5,20,-12.98521,3.05,2.718282172,0.871837335,2.391300702,50
Murray,6.3.16,Salmo.trutta,10.2,2.5,20,-12.98521,3.05,2.718282172,1.120955298,3.067783885,50
Murray,6.3.16,Salmo.trutta,10.4,2.5,20,-12.98521,3.05,2.718282172,1.180180452,3.254962,50
Murray,6.3.16,Salmo.trutta,10.6,2.5,20,-12.98521,3.05,2.718282172,1.238277439,3.449666625,50
